data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,10,tsne,tree,0.86
Gauss,100,10,facile,10,umap,kmeans,0.4571
Gauss,100,10,facile,10,umap,tree,0.89
Gauss,100,10,facile,10,pca,kmeans,0.5135
Gauss,100,10,facile,10,pca,tree,0.89
Torus,100,10,facile,10,tsne,kmeans,0.1854
Torus,100,10,facile,10,tsne,tree,0.93
Torus,100,10,facile,10,umap,kmeans,0.1357
Torus,100,10,facile,10,umap,tree,0.93
Torus,100,10,facile,10,pca,kmeans,0.1208
Torus,100,10,facile,10,pca,tree,0.87
Gauss,100,10,facile,11,tsne,kmeans,0.4848
Gauss,100,10,facile,11,tsne,tree,0.91
Gauss,100,10,facile,11,umap,kmeans,0.5135
Gauss,100,10,facile,11,umap,tree,0.89
Gauss,100,10,facile,11,pca,kmeans,0.4036
Gauss,100,10,facile,11,pca,tree,0.9
Torus,100,10,facile,11,tsne,kmeans,0.2227
Torus,100,10,facile,11,tsne,tree,0.83
Torus,100,10,facile,11,umap,kmeans,0.2424
Torus,100,10,facile,11,umap,tree,0.95
Torus,100,10,facile,11,pca,kmeans,0.1357
Torus,100,10,facile,11,pca,tree,0.89
Gauss,100,10,facile,12,tsne,kmeans,0.6044
Gauss,100,10,facile,12,tsne,tree,0.9
Gauss,100,10,facile,12,umap,kmeans,0.6364
Gauss,100,10,facile,12,umap,tree,0.92
Gauss,100,10,facile,12,pca,kmeans,0.5733
Gauss,100,10,facile,12,pca,tree,0.94
Torus,100,10,facile,12,tsne,kmeans,0.1066
Torus,100,10,facile,12,tsne,tree,0.93
Torus,100,10,facile,12,umap,kmeans,0.0933
Torus,100,10,facile,12,umap,tree,0.91
Torus,100,10,facile,12,pca,kmeans,0.0807
Torus,100,10,facile,12,pca,tree,0.83
Gauss,100,10,facile,13,tsne,kmeans,0.5137
Gauss,100,10,facile,13,tsne,tree,0.92
Gauss,100,10,facile,13,umap,kmeans,0.4304
Gauss,100,10,facile,13,umap,tree,0.95
Gauss,100,10,facile,13,pca,kmeans,0.5734
Gauss,100,10,facile,13,pca,tree,0.92
Torus,100,10,facile,13,tsne,kmeans,0.4036
Torus,100,10,facile,13,tsne,tree,0.88
Torus,100,10,facile,13,umap,kmeans,0.5733
Torus,100,10,facile,13,umap,tree,0.93
Torus,100,10,facile,13,pca,kmeans,0.168
Torus,100,10,facile,13,pca,tree,0.93
Gauss,100,10,facile,14,tsne,kmeans,0.4298
Gauss,100,10,facile,14,tsne,tree,0.84
Gauss,100,10,facile,14,umap,kmeans,0.5135
Gauss,100,10,facile,14,umap,tree,0.87
Gauss,100,10,facile,14,pca,kmeans,0.5431
Gauss,100,10,facile,14,pca,tree,0.9
Torus,100,10,facile,14,tsne,kmeans,0.3072
Torus,100,10,facile,14,tsne,tree,0.94
Torus,100,10,facile,14,umap,kmeans,0.4848
Torus,100,10,facile,14,umap,tree,0.89
Torus,100,10,facile,14,pca,kmeans,0.1854
Torus,100,10,facile,14,pca,tree,0.89
Gauss,100,10,facile,15,tsne,kmeans,0.3535
Gauss,100,10,facile,15,tsne,tree,0.87
Gauss,100,10,facile,15,umap,kmeans,0.4849
Gauss,100,10,facile,15,umap,tree,0.89
Gauss,100,10,facile,15,pca,kmeans,0.5136
Gauss,100,10,facile,15,pca,tree,0.88
Torus,100,10,facile,15,tsne,kmeans,0.2844
Torus,100,10,facile,15,tsne,tree,0.92
Torus,100,10,facile,15,umap,kmeans,0.5433
Torus,100,10,facile,15,umap,tree,0.95
Torus,100,10,facile,15,pca,kmeans,0.1854
Torus,100,10,facile,15,pca,tree,0.9
Gauss,100,10,facile,16,tsne,kmeans,0.6045
Gauss,100,10,facile,16,tsne,tree,0.9
