data_type,n,d,livello,rep,method,measure,acc./ARI
Torus,100,10,difficile,35,pca,kmeans,0.0933
Torus,100,10,difficile,35,pca,tree,0.83
Gauss,100,10,difficile,36,tsne,kmeans,0.4036
Gauss,100,10,difficile,36,tsne,tree,0.88
Gauss,100,10,difficile,36,umap,kmeans,0.2226
Gauss,100,10,difficile,36,umap,tree,0.84
Gauss,100,10,difficile,36,pca,kmeans,0.4036
Gauss,100,10,difficile,36,pca,tree,0.83
Torus,100,10,difficile,36,tsne,kmeans,0.3535
Torus,100,10,difficile,36,tsne,tree,0.84
Torus,100,10,difficile,36,umap,kmeans,0.3782
Torus,100,10,difficile,36,umap,tree,0.91
Torus,100,10,difficile,36,pca,kmeans,0.2227
Torus,100,10,difficile,36,pca,tree,0.85
Gauss,100,10,difficile,37,tsne,kmeans,0.4037
Gauss,100,10,difficile,37,tsne,tree,0.83
Gauss,100,10,difficile,37,umap,kmeans,0.4571
Gauss,100,10,difficile,37,umap,tree,0.85
Gauss,100,10,difficile,37,pca,kmeans,0.3785
Gauss,100,10,difficile,37,pca,tree,0.86
Torus,100,10,difficile,37,tsne,kmeans,0.1514
Torus,100,10,difficile,37,tsne,tree,0.84
Torus,100,10,difficile,37,umap,kmeans,0.0387
Torus,100,10,difficile,37,umap,tree,0.84
Torus,100,10,difficile,37,pca,kmeans,0.1066
Torus,100,10,difficile,37,pca,tree,0.86
Gauss,100,10,difficile,38,tsne,kmeans,0.3784
Gauss,100,10,difficile,38,tsne,tree,0.87
Gauss,100,10,difficile,38,umap,kmeans,0.3783
Gauss,100,10,difficile,38,umap,tree,0.86
Gauss,100,10,difficile,38,pca,kmeans,0.4039
Gauss,100,10,difficile,38,pca,tree,0.84
Torus,100,10,difficile,38,tsne,kmeans,0.0812
Torus,100,10,difficile,38,tsne,tree,0.86
Torus,100,10,difficile,38,umap,kmeans,0.0237
Torus,100,10,difficile,38,umap,tree,0.85
Torus,100,10,difficile,38,pca,kmeans,0.0044
Torus,100,10,difficile,38,pca,tree,0.84
Gauss,100,10,difficile,39,tsne,kmeans,0.3067
Gauss,100,10,difficile,39,tsne,tree,0.84
Gauss,100,10,difficile,39,umap,kmeans,0.2425
Gauss,100,10,difficile,39,umap,tree,0.84
Gauss,100,10,difficile,39,pca,kmeans,0.4036
Gauss,100,10,difficile,39,pca,tree,0.86
Torus,100,10,difficile,39,tsne,kmeans,0.069
Torus,100,10,difficile,39,tsne,tree,0.86
Torus,100,10,difficile,39,umap,kmeans,0.0933
Torus,100,10,difficile,39,umap,tree,0.86
Torus,100,10,difficile,39,pca,kmeans,0.0581
Torus,100,10,difficile,39,pca,tree,0.83
Gauss,100,10,difficile,40,tsne,kmeans,0.2845
Gauss,100,10,difficile,40,tsne,tree,0.87
Gauss,100,10,difficile,40,umap,kmeans,0.2423
Gauss,100,10,difficile,40,umap,tree,0.83
Gauss,100,10,difficile,40,pca,kmeans,0.4025
Gauss,100,10,difficile,40,pca,tree,0.83
Torus,100,10,difficile,40,tsne,kmeans,0.1854
Torus,100,10,difficile,40,tsne,tree,0.87
Torus,100,10,difficile,40,umap,kmeans,0.1066
Torus,100,10,difficile,40,umap,tree,0.86
Torus,100,10,difficile,40,pca,kmeans,0.1207
Torus,100,10,difficile,40,pca,tree,0.84
Gauss,100,10,difficile,41,tsne,kmeans,0.3535
Gauss,100,10,difficile,41,tsne,tree,0.84
Gauss,100,10,difficile,41,umap,kmeans,0.4569
Gauss,100,10,difficile,41,umap,tree,0.86
Gauss,100,10,difficile,41,pca,kmeans,0.3782
Gauss,100,10,difficile,41,pca,tree,0.87
Torus,100,10,difficile,41,tsne,kmeans,0.1857
Torus,100,10,difficile,41,tsne,tree,0.88
Torus,100,10,difficile,41,umap,kmeans,0.1857
Torus,100,10,difficile,41,umap,tree,0.86
Torus,100,10,difficile,41,pca,kmeans,0.1681
Torus,100,10,difficile,41,pca,tree,0.84
Gauss,100,10,difficile,42,tsne,kmeans,0.3782
Gauss,100,10,difficile,42,tsne,tree,0.86
Gauss,100,10,difficile,42,umap,kmeans,0.4299
Gauss,100,10,difficile,42,umap,tree,0.88
Gauss,100,10,difficile,42,pca,kmeans,0.4849
Gauss,100,10,difficile,42,pca,tree,0.86
Torus,100,10,difficile,42,tsne,kmeans,0.2631
Torus,100,10,difficile,42,tsne,tree,0.91
Torus,100,10,difficile,42,umap,kmeans,0.2631
Torus,100,10,difficile,42,umap,tree,0.89
Torus,100,10,difficile,42,pca,kmeans,0.1358
Torus,100,10,difficile,42,pca,tree,0.88
Gauss,100,10,difficile,43,tsne,kmeans,0.3299
Gauss,100,10,difficile,43,tsne,tree,0.85
Gauss,100,10,difficile,43,umap,kmeans,0.243
Gauss,100,10,difficile,43,umap,tree,0.84
Gauss,100,10,difficile,43,pca,kmeans,0.2041
Gauss,100,10,difficile,43,pca,tree,0.83
Torus,100,10,difficile,43,tsne,kmeans,0.0225
Torus,100,10,difficile,43,tsne,tree,0.89
Torus,100,10,difficile,43,umap,kmeans,0.243
Torus,100,10,difficile,43,umap,tree,0.85
Torus,100,10,difficile,43,pca,kmeans,0.0807
Torus,100,10,difficile,43,pca,tree,0.87
Gauss,100,10,difficile,44,tsne,kmeans,0.2419
Gauss,100,10,difficile,44,tsne,tree,0.82
Gauss,100,10,difficile,44,umap,kmeans,0.3065
Gauss,100,10,difficile,44,umap,tree,0.86
Gauss,100,10,difficile,44,pca,kmeans,0.3773
Gauss,100,10,difficile,44,pca,tree,0.84
Torus,100,10,difficile,44,tsne,kmeans,0.1357
Torus,100,10,difficile,44,tsne,tree,0.86
Torus,100,10,difficile,44,umap,kmeans,0.1681
Torus,100,10,difficile,44,umap,tree,0.87
Torus,100,10,difficile,44,pca,kmeans,0.0809
Torus,100,10,difficile,44,pca,tree,0.89
Gauss,100,10,difficile,45,tsne,kmeans,0.3296
Gauss,100,10,difficile,45,tsne,tree,0.86
Gauss,100,10,difficile,45,umap,kmeans,0.4299
Gauss,100,10,difficile,45,umap,tree,0.84
Gauss,100,10,difficile,45,pca,kmeans,0.3296
Gauss,100,10,difficile,45,pca,tree,0.86
Torus,100,10,difficile,45,tsne,kmeans,0.0157
Torus,100,10,difficile,45,tsne,tree,0.87
Torus,100,10,difficile,45,umap,kmeans,0.048
Torus,100,10,difficile,45,umap,tree,0.85
Torus,100,10,difficile,45,pca,kmeans,0.069
Torus,100,10,difficile,45,pca,tree,0.85
Gauss,100,10,difficile,46,tsne,kmeans,0.3782
Gauss,100,10,difficile,46,tsne,tree,0.84
Gauss,100,10,difficile,46,umap,kmeans,0.3782
Gauss,100,10,difficile,46,umap,tree,0.83
Gauss,100,10,difficile,46,pca,kmeans,0.3782
Gauss,100,10,difficile,46,pca,tree,0.85
Torus,100,10,difficile,46,tsne,kmeans,0.2424
Torus,100,10,difficile,46,tsne,tree,0.88
Torus,100,10,difficile,46,umap,kmeans,0.2424
Torus,100,10,difficile,46,umap,tree,0.87
Torus,100,10,difficile,46,pca,kmeans,0.1514
Torus,100,10,difficile,46,pca,tree,0.89
Gauss,100,10,difficile,47,tsne,kmeans,0.6363
Gauss,100,10,difficile,47,tsne,tree,0.86
Gauss,100,10,difficile,47,umap,kmeans,0.6044
Gauss,100,10,difficile,47,umap,tree,0.89
Gauss,100,10,difficile,47,pca,kmeans,0.457
Gauss,100,10,difficile,47,pca,tree,0.88
Torus,100,10,difficile,47,tsne,kmeans,0.1854
Torus,100,10,difficile,47,tsne,tree,0.9
Torus,100,10,difficile,47,umap,kmeans,0.1854
Torus,100,10,difficile,47,umap,tree,0.89
Torus,100,10,difficile,47,pca,kmeans,0.069
Torus,100,10,difficile,47,pca,tree,0.8
Gauss,100,10,difficile,48,tsne,kmeans,0.2628
Gauss,100,10,difficile,48,tsne,tree,0.8
Gauss,100,10,difficile,48,umap,kmeans,0.3782
Gauss,100,10,difficile,48,umap,tree,0.85
Gauss,100,10,difficile,48,pca,kmeans,0.2627
Gauss,100,10,difficile,48,pca,tree,0.84
Torus,100,10,difficile,48,tsne,kmeans,0.307
Torus,100,10,difficile,48,tsne,tree,0.9
Torus,100,10,difficile,48,umap,kmeans,0.1857
Torus,100,10,difficile,48,umap,tree,0.89
Torus,100,10,difficile,48,pca,kmeans,0.1517
Torus,100,10,difficile,48,pca,tree,0.86
Gauss,100,10,difficile,49,tsne,kmeans,0.3535
Gauss,100,10,difficile,49,tsne,tree,0.84
Gauss,100,10,difficile,49,umap,kmeans,0.2038
Gauss,100,10,difficile,49,umap,tree,0.8
Gauss,100,10,difficile,49,pca,kmeans,0.2848
Gauss,100,10,difficile,49,pca,tree,0.82
Torus,100,10,difficile,49,tsne,kmeans,0.2227
Torus,100,10,difficile,49,tsne,tree,0.87
Torus,100,10,difficile,49,umap,kmeans,0.1357
Torus,100,10,difficile,49,umap,tree,0.8
Torus,100,10,difficile,49,pca,kmeans,0.0484
Torus,100,10,difficile,49,pca,tree,0.87
Gauss,100,10,difficile,50,tsne,kmeans,0.3297
Gauss,100,10,difficile,50,tsne,tree,0.84
Gauss,100,10,difficile,50,umap,kmeans,0.3298
Gauss,100,10,difficile,50,umap,tree,0.83
Gauss,100,10,difficile,50,pca,kmeans,0.3069
Gauss,100,10,difficile,50,pca,tree,0.84
Torus,100,10,difficile,50,tsne,kmeans,0.2424
Torus,100,10,difficile,50,tsne,tree,0.92
Torus,100,10,difficile,50,umap,kmeans,0.263
Torus,100,10,difficile,50,umap,tree,0.93
Torus,100,10,difficile,50,pca,kmeans,0.136
Torus,100,10,difficile,50,pca,tree,0.86
Gauss,100,10,difficile,51,tsne,kmeans,0.543
Gauss,100,10,difficile,51,tsne,tree,0.91
Gauss,100,10,difficile,51,umap,kmeans,0.4848
Gauss,100,10,difficile,51,umap,tree,0.89
Gauss,100,10,difficile,51,pca,kmeans,0.5135
Gauss,100,10,difficile,51,pca,tree,0.89
Torus,100,10,difficile,51,tsne,kmeans,0.2844
Torus,100,10,difficile,51,tsne,tree,0.86
Torus,100,10,difficile,51,umap,kmeans,0.3302
Torus,100,10,difficile,51,umap,tree,0.87
Torus,100,10,difficile,51,pca,kmeans,0.1361
Torus,100,10,difficile,51,pca,tree,0.8
Gauss,100,10,difficile,52,tsne,kmeans,0.4849
Gauss,100,10,difficile,52,tsne,tree,0.86
Gauss,100,10,difficile,52,umap,kmeans,0.4571
Gauss,100,10,difficile,52,umap,tree,0.85
Gauss,100,10,difficile,52,pca,kmeans,0.4303
Gauss,100,10,difficile,52,pca,tree,0.87
Torus,100,10,difficile,52,tsne,kmeans,0.2226
Torus,100,10,difficile,52,tsne,tree,0.87
Torus,100,10,difficile,52,umap,kmeans,0.2226
Torus,100,10,difficile,52,umap,tree,0.89
Torus,100,10,difficile,52,pca,kmeans,0.1361
Torus,100,10,difficile,52,pca,tree,0.89
Gauss,100,10,difficile,53,tsne,kmeans,0.5136
Gauss,100,10,difficile,53,tsne,tree,0.87
Gauss,100,10,difficile,53,umap,kmeans,0.5136
Gauss,100,10,difficile,53,umap,tree,0.87
Gauss,100,10,difficile,53,pca,kmeans,0.2855
Gauss,100,10,difficile,53,pca,tree,0.9
Torus,100,10,difficile,53,tsne,kmeans,0.1681
Torus,100,10,difficile,53,tsne,tree,0.84
Torus,100,10,difficile,53,umap,kmeans,0.1514
Torus,100,10,difficile,53,umap,tree,0.82
Torus,100,10,difficile,53,pca,kmeans,0.023
Torus,100,10,difficile,53,pca,tree,0.85
Gauss,100,10,difficile,54,tsne,kmeans,0.2844
Gauss,100,10,difficile,54,tsne,tree,0.83
Gauss,100,10,difficile,54,umap,kmeans,0.2424
Gauss,100,10,difficile,54,umap,tree,0.85
Gauss,100,10,difficile,54,pca,kmeans,0.1701
Gauss,100,10,difficile,54,pca,tree,0.83
Torus,100,10,difficile,54,tsne,kmeans,0.3783
Torus,100,10,difficile,54,tsne,tree,0.89
Torus,100,10,difficile,54,umap,kmeans,0.3073
Torus,100,10,difficile,54,umap,tree,0.87
Torus,100,10,difficile,54,pca,kmeans,0.2226
Torus,100,10,difficile,54,pca,tree,0.84
Gauss,100,10,difficile,55,tsne,kmeans,0.1359
Gauss,100,10,difficile,55,tsne,tree,0.86
Gauss,100,10,difficile,55,umap,kmeans,0.2615
Gauss,100,10,difficile,55,umap,tree,0.81
Gauss,100,10,difficile,55,pca,kmeans,0.3269
Gauss,100,10,difficile,55,pca,tree,0.85
Torus,100,10,difficile,55,tsne,kmeans,0.1855
Torus,100,10,difficile,55,tsne,tree,0.87
Torus,100,10,difficile,55,umap,kmeans,0.2426
Torus,100,10,difficile,55,umap,tree,0.89
Torus,100,10,difficile,55,pca,kmeans,0.1681
Torus,100,10,difficile,55,pca,tree,0.85
Gauss,100,10,difficile,56,tsne,kmeans,0.4038
Gauss,100,10,difficile,56,tsne,tree,0.91
Gauss,100,10,difficile,56,umap,kmeans,0.3299
Gauss,100,10,difficile,56,umap,tree,0.84
Gauss,100,10,difficile,56,pca,kmeans,0.329
Gauss,100,10,difficile,56,pca,tree,0.88
Torus,100,10,difficile,56,tsne,kmeans,0.2226
Torus,100,10,difficile,56,tsne,tree,0.88
Torus,100,10,difficile,56,umap,kmeans,0.1515
Torus,100,10,difficile,56,umap,tree,0.88
Torus,100,10,difficile,56,pca,kmeans,0.1068
Torus,100,10,difficile,56,pca,tree,0.77
Gauss,100,10,difficile,57,tsne,kmeans,0.3535
Gauss,100,10,difficile,57,tsne,tree,0.85
Gauss,100,10,difficile,57,umap,kmeans,0.4036
Gauss,100,10,difficile,57,umap,tree,0.84
Gauss,100,10,difficile,57,pca,kmeans,0.3535
Gauss,100,10,difficile,57,pca,tree,0.83
Torus,100,10,difficile,57,tsne,kmeans,0.1358
Torus,100,10,difficile,57,tsne,tree,0.86
Torus,100,10,difficile,57,umap,kmeans,0.0933
Torus,100,10,difficile,57,umap,tree,0.86
Torus,100,10,difficile,57,pca,kmeans,0.0808
Torus,100,10,difficile,57,pca,tree,0.83
Gauss,100,10,difficile,58,tsne,kmeans,0.4036
Gauss,100,10,difficile,58,tsne,tree,0.88
Gauss,100,10,difficile,58,umap,kmeans,0.3068
Gauss,100,10,difficile,58,umap,tree,0.84
Gauss,100,10,difficile,58,pca,kmeans,0.4036
Gauss,100,10,difficile,58,pca,tree,0.84
Torus,100,10,difficile,58,tsne,kmeans,0.1683
Torus,100,10,difficile,58,tsne,tree,0.87
Torus,100,10,difficile,58,umap,kmeans,0.2037
Torus,100,10,difficile,58,umap,tree,0.87
Torus,100,10,difficile,58,pca,kmeans,0.1208
Torus,100,10,difficile,58,pca,tree,0.83
Gauss,100,10,difficile,59,tsne,kmeans,0.3535
Gauss,100,10,difficile,59,tsne,tree,0.84
Gauss,100,10,difficile,59,umap,kmeans,0.3538
Gauss,100,10,difficile,59,umap,tree,0.84
Gauss,100,10,difficile,59,pca,kmeans,0.3298
Gauss,100,10,difficile,59,pca,tree,0.87
Torus,100,10,difficile,59,tsne,kmeans,0.2036
Torus,100,10,difficile,59,tsne,tree,0.9
Torus,100,10,difficile,59,umap,kmeans,0.2427
Torus,100,10,difficile,59,umap,tree,0.87
Torus,100,10,difficile,59,pca,kmeans,0.1212
Torus,100,10,difficile,59,pca,tree,0.87
Gauss,100,10,difficile,60,tsne,kmeans,0.4571
Gauss,100,10,difficile,60,tsne,tree,0.86
Gauss,100,10,difficile,60,umap,kmeans,0.3783
Gauss,100,10,difficile,60,umap,tree,0.9
Gauss,100,10,difficile,60,pca,kmeans,0.3783
Gauss,100,10,difficile,60,pca,tree,0.86
Torus,100,10,difficile,60,tsne,kmeans,0.07
Torus,100,10,difficile,60,tsne,tree,0.87
Torus,100,10,difficile,60,umap,kmeans,0.1856
Torus,100,10,difficile,60,umap,tree,0.88
Torus,100,10,difficile,60,pca,kmeans,0.0394
Torus,100,10,difficile,60,pca,tree,0.89
Gauss,100,10,difficile,61,tsne,kmeans,0.4299
Gauss,100,10,difficile,61,tsne,tree,0.82
Gauss,100,10,difficile,61,umap,kmeans,0.3535
Gauss,100,10,difficile,61,umap,tree,0.91
Gauss,100,10,difficile,61,pca,kmeans,0.4299
Gauss,100,10,difficile,61,pca,tree,0.86
Torus,100,10,difficile,61,tsne,kmeans,0.1211
Torus,100,10,difficile,61,tsne,tree,0.81
Torus,100,10,difficile,61,umap,kmeans,0.1068
Torus,100,10,difficile,61,umap,tree,0.8
Torus,100,10,difficile,61,pca,kmeans,0.0487
Torus,100,10,difficile,61,pca,tree,0.78
Gauss,100,10,difficile,62,tsne,kmeans,0.3067
Gauss,100,10,difficile,62,tsne,tree,0.84
Gauss,100,10,difficile,62,umap,kmeans,0.3778
Gauss,100,10,difficile,62,umap,tree,0.83
Gauss,100,10,difficile,62,pca,kmeans,0.3296
Gauss,100,10,difficile,62,pca,tree,0.83
Torus,100,10,difficile,62,tsne,kmeans,0.2226
Torus,100,10,difficile,62,tsne,tree,0.88
Torus,100,10,difficile,62,umap,kmeans,0.2229
Torus,100,10,difficile,62,umap,tree,0.8
Torus,100,10,difficile,62,pca,kmeans,0.1208
Torus,100,10,difficile,62,pca,tree,0.83
Gauss,100,10,difficile,63,tsne,kmeans,0.3781
Gauss,100,10,difficile,63,tsne,tree,0.84
Gauss,100,10,difficile,63,umap,kmeans,0.3782
Gauss,100,10,difficile,63,umap,tree,0.9
Gauss,100,10,difficile,63,pca,kmeans,0.457
Gauss,100,10,difficile,63,pca,tree,0.89
Torus,100,10,difficile,63,tsne,kmeans,0.1682
Torus,100,10,difficile,63,tsne,tree,0.83
Torus,100,10,difficile,63,umap,kmeans,0.1682
Torus,100,10,difficile,63,umap,tree,0.83
Torus,100,10,difficile,63,pca,kmeans,0.0933
Torus,100,10,difficile,63,pca,tree,0.81
Gauss,100,10,difficile,64,tsne,kmeans,0.3066
Gauss,100,10,difficile,64,tsne,tree,0.82
Gauss,100,10,difficile,64,umap,kmeans,0.3296
Gauss,100,10,difficile,64,umap,tree,0.84
Gauss,100,10,difficile,64,pca,kmeans,0.3296
Gauss,100,10,difficile,64,pca,tree,0.86
Torus,100,10,difficile,64,tsne,kmeans,0.1854
Torus,100,10,difficile,64,tsne,tree,0.93
Torus,100,10,difficile,64,umap,kmeans,0.2642
Torus,100,10,difficile,64,umap,tree,0.86
Torus,100,10,difficile,64,pca,kmeans,0.223
Torus,100,10,difficile,64,pca,tree,0.81
Gauss,100,10,difficile,65,tsne,kmeans,0.457
Gauss,100,10,difficile,65,tsne,tree,0.88
Gauss,100,10,difficile,65,umap,kmeans,0.4299
Gauss,100,10,difficile,65,umap,tree,0.87
Gauss,100,10,difficile,65,pca,kmeans,0.5135
Gauss,100,10,difficile,65,pca,tree,0.86
Torus,100,10,difficile,65,tsne,kmeans,0.1207
Torus,100,10,difficile,65,tsne,tree,0.83
Torus,100,10,difficile,65,umap,kmeans,0.1211
Torus,100,10,difficile,65,umap,tree,0.82
Torus,100,10,difficile,65,pca,kmeans,0.0581
Torus,100,10,difficile,65,pca,tree,0.77
Gauss,100,10,difficile,66,tsne,kmeans,0.4036
Gauss,100,10,difficile,66,tsne,tree,0.88
Gauss,100,10,difficile,66,umap,kmeans,0.4848
Gauss,100,10,difficile,66,umap,tree,0.88
Gauss,100,10,difficile,66,pca,kmeans,0.513
Gauss,100,10,difficile,66,pca,tree,0.87
Torus,100,10,difficile,66,tsne,kmeans,0.4298
Torus,100,10,difficile,66,tsne,tree,0.83
Torus,100,10,difficile,66,umap,kmeans,0.4298
Torus,100,10,difficile,66,umap,tree,0.87
Torus,100,10,difficile,66,pca,kmeans,0.1518
Torus,100,10,difficile,66,pca,tree,0.79
Gauss,100,10,difficile,67,tsne,kmeans,0.4569
Gauss,100,10,difficile,67,tsne,tree,0.87
Gauss,100,10,difficile,67,umap,kmeans,0.4036
Gauss,100,10,difficile,67,umap,tree,0.83
Gauss,100,10,difficile,67,pca,kmeans,0.263
Gauss,100,10,difficile,67,pca,tree,0.86
Torus,100,10,difficile,67,tsne,kmeans,0.2424
Torus,100,10,difficile,67,tsne,tree,0.83
Torus,100,10,difficile,67,umap,kmeans,0.2226
Torus,100,10,difficile,67,umap,tree,0.83
Torus,100,10,difficile,67,pca,kmeans,0.1209
Torus,100,10,difficile,67,pca,tree,0.87
Gauss,100,10,difficile,68,tsne,kmeans,0.4569
Gauss,100,10,difficile,68,tsne,tree,0.87
Gauss,100,10,difficile,68,umap,kmeans,0.4036
Gauss,100,10,difficile,68,umap,tree,0.89
Gauss,100,10,difficile,68,pca,kmeans,0.3074
Gauss,100,10,difficile,68,pca,tree,0.87
Torus,100,10,difficile,68,tsne,kmeans,0.263
Torus,100,10,difficile,68,tsne,tree,0.83
Torus,100,10,difficile,68,umap,kmeans,0.2631
Torus,100,10,difficile,68,umap,tree,0.86
Torus,100,10,difficile,68,pca,kmeans,0.1857
Torus,100,10,difficile,68,pca,tree,0.79
Gauss,100,10,difficile,69,tsne,kmeans,0.3066
Gauss,100,10,difficile,69,tsne,tree,0.86
Gauss,100,10,difficile,69,umap,kmeans,0.2033
Gauss,100,10,difficile,69,umap,tree,0.83
Gauss,100,10,difficile,69,pca,kmeans,0.2222
Gauss,100,10,difficile,69,pca,tree,0.83
Torus,100,10,difficile,69,tsne,kmeans,0.3296
Torus,100,10,difficile,69,tsne,tree,0.82
Torus,100,10,difficile,69,umap,kmeans,0.3066
Torus,100,10,difficile,69,umap,tree,0.83
Torus,100,10,difficile,69,pca,kmeans,0.1515
Torus,100,10,difficile,69,pca,tree,0.84
Gauss,100,10,difficile,70,tsne,kmeans,0.3535
Gauss,100,10,difficile,70,tsne,tree,0.83
Gauss,100,10,difficile,70,umap,kmeans,0.2844
Gauss,100,10,difficile,70,umap,tree,0.83
Gauss,100,10,difficile,70,pca,kmeans,0.263
Gauss,100,10,difficile,70,pca,tree,0.79
Torus,100,10,difficile,70,tsne,kmeans,0.3536
Torus,100,10,difficile,70,tsne,tree,0.87
Torus,100,10,difficile,70,umap,kmeans,0.5135
Torus,100,10,difficile,70,umap,tree,0.9
Torus,100,10,difficile,70,pca,kmeans,0.2225
Torus,100,10,difficile,70,pca,tree,0.9
Gauss,100,10,difficile,71,tsne,kmeans,0.2844
Gauss,100,10,difficile,71,tsne,tree,0.83
Gauss,100,10,difficile,71,umap,kmeans,0.3297
Gauss,100,10,difficile,71,umap,tree,0.83
Gauss,100,10,difficile,71,pca,kmeans,0.4299
Gauss,100,10,difficile,71,pca,tree,0.86
Torus,100,10,difficile,71,tsne,kmeans,0.3297
Torus,100,10,difficile,71,tsne,tree,0.9
Torus,100,10,difficile,71,umap,kmeans,0.3297
Torus,100,10,difficile,71,umap,tree,0.92
Torus,100,10,difficile,71,pca,kmeans,0.2037
Torus,100,10,difficile,71,pca,tree,0.89
Gauss,100,10,difficile,72,tsne,kmeans,0.1854
Gauss,100,10,difficile,72,tsne,tree,0.85
Gauss,100,10,difficile,72,umap,kmeans,0.1208
Gauss,100,10,difficile,72,umap,tree,0.82
Gauss,100,10,difficile,72,pca,kmeans,0.3537
Gauss,100,10,difficile,72,pca,tree,0.82
Torus,100,10,difficile,72,tsne,kmeans,0.168
Torus,100,10,difficile,72,tsne,tree,0.83
Torus,100,10,difficile,72,umap,kmeans,0.1514
Torus,100,10,difficile,72,umap,tree,0.85
Torus,100,10,difficile,72,pca,kmeans,0.1357
Torus,100,10,difficile,72,pca,tree,0.84
Gauss,100,10,difficile,73,tsne,kmeans,0.3535
Gauss,100,10,difficile,73,tsne,tree,0.85
Gauss,100,10,difficile,73,umap,kmeans,0.2844
Gauss,100,10,difficile,73,umap,tree,0.87
Gauss,100,10,difficile,73,pca,kmeans,0.404
Gauss,100,10,difficile,73,pca,tree,0.91
Torus,100,10,difficile,73,tsne,kmeans,0.3299
Torus,100,10,difficile,73,tsne,tree,0.87
Torus,100,10,difficile,73,umap,kmeans,0.0359
Torus,100,10,difficile,73,umap,tree,0.84
Torus,100,10,difficile,73,pca,kmeans,0.2036
Torus,100,10,difficile,73,pca,tree,0.84
Gauss,100,10,difficile,74,tsne,kmeans,0.669
Gauss,100,10,difficile,74,tsne,tree,0.93
Gauss,100,10,difficile,74,umap,kmeans,0.7026
Gauss,100,10,difficile,74,umap,tree,0.94
Gauss,100,10,difficile,74,pca,kmeans,0.636
Gauss,100,10,difficile,74,pca,tree,0.92
Torus,100,10,difficile,74,tsne,kmeans,0.2036
Torus,100,10,difficile,74,tsne,tree,0.96
Torus,100,10,difficile,74,umap,kmeans,0.2226
Torus,100,10,difficile,74,umap,tree,0.93
Torus,100,10,difficile,74,pca,kmeans,0.1207
Torus,100,10,difficile,74,pca,tree,0.81
Gauss,100,10,difficile,75,tsne,kmeans,0.6364
Gauss,100,10,difficile,75,tsne,tree,0.9
Gauss,100,10,difficile,75,umap,kmeans,0.543
Gauss,100,10,difficile,75,umap,tree,0.87
Gauss,100,10,difficile,75,pca,kmeans,0.543
Gauss,100,10,difficile,75,pca,tree,0.91
Torus,100,10,difficile,75,tsne,kmeans,0.3296
Torus,100,10,difficile,75,tsne,tree,0.88
Torus,100,10,difficile,75,umap,kmeans,0.2639
Torus,100,10,difficile,75,umap,tree,0.93
Torus,100,10,difficile,75,pca,kmeans,0.1854
Torus,100,10,difficile,75,pca,tree,0.88
Gauss,100,10,difficile,76,tsne,kmeans,0.2226
Gauss,100,10,difficile,76,tsne,tree,0.86
Gauss,100,10,difficile,76,umap,kmeans,0.43
Gauss,100,10,difficile,76,umap,tree,0.82
Gauss,100,10,difficile,76,pca,kmeans,0.3786
Gauss,100,10,difficile,76,pca,tree,0.81
Torus,100,10,difficile,76,tsne,kmeans,0.2844
Torus,100,10,difficile,76,tsne,tree,0.84
Torus,100,10,difficile,76,umap,kmeans,0.3785
Torus,100,10,difficile,76,umap,tree,0.92
Torus,100,10,difficile,76,pca,kmeans,0.1518
Torus,100,10,difficile,76,pca,tree,0.86
Gauss,100,10,difficile,77,tsne,kmeans,0.6045
Gauss,100,10,difficile,77,tsne,tree,0.87
Gauss,100,10,difficile,77,umap,kmeans,0.4848
Gauss,100,10,difficile,77,umap,tree,0.86
Gauss,100,10,difficile,77,pca,kmeans,0.6045
Gauss,100,10,difficile,77,pca,tree,0.9
Torus,100,10,difficile,77,tsne,kmeans,0.2631
Torus,100,10,difficile,77,tsne,tree,0.88
Torus,100,10,difficile,77,umap,kmeans,0.2844
Torus,100,10,difficile,77,umap,tree,0.88
Torus,100,10,difficile,77,pca,kmeans,0.1514
Torus,100,10,difficile,77,pca,tree,0.83
Gauss,100,10,difficile,78,tsne,kmeans,0.2631
Gauss,100,10,difficile,78,tsne,tree,0.83
Gauss,100,10,difficile,78,umap,kmeans,0.2424
Gauss,100,10,difficile,78,umap,tree,0.79
Gauss,100,10,difficile,78,pca,kmeans,0.3535
Gauss,100,10,difficile,78,pca,tree,0.87
Torus,100,10,difficile,78,tsne,kmeans,0.2425
Torus,100,10,difficile,78,tsne,tree,0.86
Torus,100,10,difficile,78,umap,kmeans,0.2227
Torus,100,10,difficile,78,umap,tree,0.89
Torus,100,10,difficile,78,pca,kmeans,0.1357
Torus,100,10,difficile,78,pca,tree,0.83
Gauss,100,10,difficile,79,tsne,kmeans,0.2845
Gauss,100,10,difficile,79,tsne,tree,0.88
Gauss,100,10,difficile,79,umap,kmeans,0.3297
Gauss,100,10,difficile,79,umap,tree,0.82
Gauss,100,10,difficile,79,pca,kmeans,0.1857
Gauss,100,10,difficile,79,pca,tree,0.88
Torus,100,10,difficile,79,tsne,kmeans,0.263
Torus,100,10,difficile,79,tsne,tree,0.86
Torus,100,10,difficile,79,umap,kmeans,0.2226
Torus,100,10,difficile,79,umap,tree,0.87
Torus,100,10,difficile,79,pca,kmeans,0.069
Torus,100,10,difficile,79,pca,tree,0.83
Gauss,100,10,difficile,80,tsne,kmeans,0.4038
